Transaction Date,Customer ID,Contractor ID,Service Code,Shift Total
2/1/2018,288,26129,UN,1
2/1/2018,288,26129,UN,12
2/1/2018,288,35957,UN,15
2/1/2018,288,42389,UN,12
2/1/2018,288,71658,UN,1
2/1/2018,288,71658,UN,6
2/1/2018,288,79993,UN,4.5
2/1/2018,288,82825,UN,12
2/1/2018,288,83325,UN,12
2/1/2018,288,83325,UN,5
2/1/2018,288,84523,UN,12
2/1/2018,288,84523,UN,8
2/2/2018,288,15021,UN,15
2/2/2018,288,15439,UN,6
2/2/2018,288,15485,UN,12
2/2/2018,288,15485,UN,5.5
2/2/2018,288,42389,UN,12
2/2/2018,288,57232,UN,12
2/2/2018,288,57232,UN,5
2/2/2018,288,79993,UN,1
2/2/2018,288,79993,UN,8
2/2/2018,288,82242,UN,12
2/2/2018,288,82825,UN,12
2/2/2018,288,83325,UN,12
2/3/2018,288,15439,UN,12
2/3/2018,288,15439,UN,5
2/3/2018,288,26129,UN,12
2/3/2018,288,35957,UN,15
2/3/2018,288,57232,UN,12
2/3/2018,288,57232,UN,6
2/3/2018,288,63105,UN,1
2/3/2018,288,63105,UN,6
2/3/2018,288,82242,UN,12
2/3/2018,288,82242,UN,5.5
2/3/2018,288,83325,UN,12
2/3/2018,288,84523,UN,12
2/4/2018,288,15021,UN,13
2/4/2018,288,15439,UN,15
2/4/2018,288,20925,UN,15
2/4/2018,288,26129,UN,10
2/4/2018,288,26129,UN,11
2/4/2018,288,35957,UN,16
2/4/2018,288,79993,UN,9
2/4/2018,288,82242,UN,16
2/4/2018,288,82825,UN,12.5
2/5/2018,288,15021,UN,1.5
2/5/2018,288,15021,UN,4.5
2/5/2018,288,15439,UN,11
2/5/2018,288,15485,UN,12
2/5/2018,288,26129,UN,12
2/5/2018,288,35957,UN,6
2/5/2018,288,42389,UN,12
2/5/2018,288,79993,UN,15
2/5/2018,288,82242,UN,8
2/5/2018,288,82825,UN,12
2/5/2018,288,83325,UN,12
2/5/2018,288,83325,UN,5
2/6/2018,288,15021,UN,11.5
2/6/2018,288,15021,UN,1
2/6/2018,288,15439,UN,5
